IP	attacks	hostname	asNumber	asOrg	org	ispName	cityName	countryCode	countryName
178.217.187.39	1276522	tor-exit.xshells.net	51290	Hosteam S.c. Tomasz Groszewski Bartosz Waszak Lukasz Groszewski	Hosteam S.c. Tomasz Groszewski Bartosz Waszak Luka	Hosteam S.c. Tomasz Groszewski Bartosz Waszak Luka			
217.23.14.168	969943	customer.worldstream.nl	49981	WorldStream B.V.	WorldStream B.V.	WorldStream B.V.			
209.222.77.220	727115	tor-relay.redteam.net	46844	Sharktech	Sharktech	Sharktech			
176.10.104.243	495836	tor2e1.digitale-gesellschaft.ch	51395	SOFTplus Entwicklungen GmbH	Datasource AG	Datasource AG			
185.38.14.171	407533	tor-exit.r2.apx.pub	58073	YISP B.V.	YISP B.V.	YISP B.V.			
185.38.14.215	398228	tor-exit.r1.apx.pub	58073	YISP B.V.	YISP B.V.	YISP B.V.			
94.142.242.84	394946	tor-exit-1.zenger.nl	8283	Netwerkvereniging Coloclue	Netwerkvereniging Coloclue	Netwerkvereniging Coloclue			
79.172.193.32	388138	toreador.webenlet.hu	29278	Deninet KFT	Deninet KFT	Deninet KFT			
171.25.193.77	376008	tor-exit1-readme.dfri.se	198093	Foreningen for digitala fri- och rattigheter	Foreningen for digitala fri- och rattigheter	Foreningen for digitala fri- och rattigheter			
85.25.103.119	349955	static-ip-85-25-103-119.inaddr.ip-pool.com	8972	Host Europe GmbH	HEG Mass	HEG Mass			
171.25.193.78	348479	tor-exit4-readme.dfri.se	198093	Foreningen for digitala fri- och rattigheter	Foreningen for digitala fri- och rattigheter	Foreningen for digitala fri- och rattigheter			
65.19.167.131	323200		6939	Hurricane Electric, Inc.	Hurricane Electric	Hurricane Electric			
82.221.139.25	313792	ded31663.iceservers.net	50613	Thor Data Center ehf	Advania hf.	Advania hf.			
65.19.167.132	297761		6939	Hurricane Electric, Inc.	Hurricane Electric	Hurricane Electric			
85.248.227.164	297671		5578	BENESTRA, s.r.o.	BENESTRA, s.r.o.	BENESTRA, s.r.o.			
37.220.35.202	297439	tor-exit.r3.apx.pub	58073	YISP B.V.	YISP Colo	YISP Colo			
173.254.216.66	295397	exit-01a.noisetor.net	8100	QuadraNet, Inc	QuadraNet	QuadraNet			
185.11.180.67	281248	exit.norway.tor-node.net	16234	Stayon AS	Stayon AS	Stayon AS			
109.163.234.5	258776	hessel3.torservers.net	3223	Voxility S.R.L.	Voxility S.R.L.	Voxility S.R.L.			
85.248.227.165	257181		5578	BENESTRA, s.r.o.	BENESTRA, s.r.o.	BENESTRA, s.r.o.			
46.165.230.5	233375	tor-exit.dhalgren.org	28753	Leaseweb Deutschland GmbH	Leaseweb Deutschland GmbH	Leaseweb Deutschland GmbH			
89.31.57.5	226332	dreamatorium.badexample.net	201401	Unithost Internet B.V.	Unithost Internet B.V.	Unithost Internet B.V.			
93.115.95.202	223176	lh28409.voxility.net	3223	Voxility S.R.L.	Voxility Srl	Voxility Srl			
163.172.209.46	222507	watchme.tor-exit.network	12876	Online S.a.s.	Online SAS Nl	Online SAS Nl			
176.10.99.200	221302		51395	SOFTplus Entwicklungen GmbH	Datasource AG	Datasource AG			
207.244.70.35	213186		30633	Leaseweb USA, Inc.	Leaseweb USA	Leaseweb USA			
109.163.234.8	209410	edwardsnowden1.torservers.net	3223	Voxility S.R.L.	Voxility S.R.L.	Voxility S.R.L.			
85.248.227.163	203474		5578	BENESTRA, s.r.o.	BENESTRA, s.r.o.	BENESTRA, s.r.o.			
109.163.234.2	200603	hessel0.torservers.net	3223	Voxility S.R.L.	Voxility S.R.L.	Voxility S.R.L.			
109.201.133.100	199008		43350	NForce Entertainment B.V.	NFOrce Entertainment B.V.	NFOrce Entertainment B.V.			
