IP	hostname	asNumber	asOrg	org	ispName	cityName	countryCode	countryName
5.135.158.101	cloud.tor.ninja	16276	OVH SAS	OVH SAS	OVH SAS			
5.196.1.129	tor.thd.ninja	16276	OVH SAS	OVH SAS	OVH SAS			
5.249.145.164	torexit-readme.balist.es	31034	Aruba S.p.A.	Aruba S.p.A. - Cloud Services Farm	Aruba S.p.A. - Cloud Services Farm			
31.185.104.19	tor-exit-relay.anonymizing-proxy.digitalcourage.de	43847	Martin Prager trading as NbIServ	Martin Prager trading as NbIServ	Martin Prager trading as NbIServ			
37.220.35.202	tor-exit.r3.apx.pub	58073	YISP B.V.	YISP Colo	YISP Colo			
45.33.48.204	this-is-a-tor-exit-node-1.ntp1.pw	63949	Linode, LLC	Linode, LLC	Linode, LLC			
46.28.68.158	exit2.tor-proxy.net.ua	15626	ITL Company	Uaservers Network	Uaservers Network		UA	Ukraine
35.0.127.52	tor-exit.eecs.umich.edu	237	Merit Network Inc.	University of Michigan	University of Michigan			
46.165.223.217	tor-elpresidente.piraten-nds.de	28753	Leaseweb Deutschland GmbH	Leaseweb Deutschland GmbH	Leaseweb Deutschland GmbH			
46.165.230.5	tor-exit.dhalgren.org	28753	Leaseweb Deutschland GmbH	Leaseweb Deutschland GmbH	Leaseweb Deutschland GmbH			
46.182.106.190	tor-exit.critical.cat	58073	YISP B.V.	YISP B.V.	YISP B.V.			
51.255.33.0	tor-exit.talyn.se	16276	OVH SAS	OVH SAS	OVH SAS			
51.255.202.66	tor2.asmer.com.ua	16276	OVH SAS	OVH SAS	OVH SAS			
62.210.129.246	relay1.tor.openinternet.io	12876	Online S.a.s.	ONLINE SAS	ONLINE SAS			
64.113.32.29	tor.t-3.net	15154	Specialized Bulletin Board Systems	Specialized Bulletin Board Systems	Specialized Bulletin Board Systems			
66.180.193.219	tor-proxy.die.net	11051	Cyberverse, Inc.	Cyberverse	Cyberverse			
80.240.139.111	tor.idolf.dk	200130	Digital Ocean, Inc.	Digital Ocean	Digital Ocean			
85.143.219.211	tor-exit.demfloro.ru	201848	Trader soft LLC	Trader soft LLC	Trader soft LLC			
88.198.14.171	tor1.piratenpartei-bayern.de	24940	Hetzner Online GmbH	Hetzner Online AG	Hetzner Online AG	Nuremberg	DE	Germany
89.163.237.45	tor1.mysec-arch.net	24961	myLoc managed IT AG	myLoc managed IT AG	myLoc managed IT AG		DE	Germany
89.187.142.208	exit1.torproxy.org	35592	Coolhousing s.r.o.	Coolhousing s.r.o.	Coolhousing s.r.o.			
89.187.144.122	cz.tor-exit.neelc.org	35592	Coolhousing s.r.o.	Coolhousing s.r.o.	Coolhousing s.r.o.			
91.121.230.209	exit0.radia.tor-relays.net	16276	OVH SAS	University of New South Wales Tim Wilson-Brown	University of New South Wales Tim Wilson-Brown		FR	France
91.146.121.3	tor-exit.brmlab.cz	198031	Trustica s.r.o.	Trustica s.r.o.	Trustica s.r.o.			
91.213.8.236	torsrvs.snydernet.net	48031	PE Ivanov Vitaliy Sergeevich	Hosting Solutions Ltd.	Hosting Solutions Ltd.			
91.213.8.84	torsrvn.snydernet.net	48031	PE Ivanov Vitaliy Sergeevich	Hosting Solutions Ltd.	Hosting Solutions Ltd.			
91.219.236.218	tor-exit-01.1d4.us	56322	ServerAstra Kft.	ServerAstra Kft.	ServerAstra Kft.			
91.228.151.52	tor-exit.rommelbak.nl	31019	Paulus M. Hoogsteder trading as Meanie	Paulus M. Hoogsteder trading as Meanie	Paulus M. Hoogsteder trading as Meanie		NL	Netherlands
92.222.6.12	tor.xx.or.at	16276	OVH SAS	OVH SAS	OVH SAS			
92.222.103.234	tor-exit.insane.us.to	16276	OVH SAS	OVH SAS	OVH SAS	Paris	FR	France
93.174.90.30	2.shulgin.nl.torexit.haema.co.uk	29073	Quasi Networks LTD.	Quasi Networks LTD.	Quasi Networks LTD.		SC	Seychelles
93.184.66.227	torsrva.snydernet.net	29405	VNET a.s.	VNET a.s	VNET a.s	Bratislava	SK	Slovak Republic
94.102.49.175	tor-exit.nip.su	29073	Quasi Networks LTD.	Novogara LTD	Novogara LTD		SC	Seychelles
94.142.242.84	tor-exit-1.zenger.nl	8283	Netwerkvereniging Coloclue	Netwerkvereniging Coloclue	Netwerkvereniging Coloclue			
95.130.11.147	tor-exit-readme.manalyzer.org	196689	Digicube sas	Hosting Customers	Hosting Customers			
106.187.37.101	tor.xz.je	2516	KDDI CORPORATION	Linode	Linode			
107.182.131.117	tor3.dpsi.jp	62638	Query Foundry, LLC	Query Foundry, LLC	Query Foundry, LLC			
107.181.174.84	us-west.tor-exit.neelc.org	46562	Total Server Solutions L.L.C.	Total Server Solutions L.L.C.	Total Server Solutions L.L.C.			
108.166.168.158	tor.exit-no.de	13354	EBL Global Networks, Inc.	EBL Global Networks	EBL Global Networks	Garland	US	United States
109.163.234.5	hessel3.torservers.net	3223	Voxility S.R.L.	Voxility S.R.L.	Voxility S.R.L.			
109.74.151.149	torsrvu.snydernet.net	29405	VNET a.s.	VNET a.s.	VNET a.s.	Bratislava	SK	Slovak Republic
109.163.234.8	edwardsnowden1.torservers.net	3223	Voxility S.R.L.	Voxility S.R.L.	Voxility S.R.L.			
128.52.128.105	tor-exit.csail.mit.edu	3	Massachusetts Institute of Technology	Massachusetts Institute of Technology	Massachusetts Institute of Technology			
128.153.145.125	tor-exit.cslabs.clarkson.edu.145.153.128.in-addr.arpa	92	Clarkson University	Clarkson University	Clarkson University			
146.185.177.103	tor-exit.ohdoom.net	undefined	undefined	Digital Ocean	Digital Ocean			
149.56.223.241	exit0.liskov.tor-relays.net	16276	OVH SAS	OVH Hosting	OVH Hosting			
148.251.255.92	tor-exit.gcpd.biz	24940	Hetzner Online GmbH	HETZNER	HETZNER			
149.56.229.17	3.tor.exit.babylon.network	16276	OVH SAS	OVH Hosting	OVH Hosting			
158.130.0.242	tor-exit-node.seas.upenn.edu	55	University of Pennsylvania	University of Pennsylvania	University of Pennsylvania			
162.247.72.27	turing.tor-exit.calyxinstitute.org	4224	The Calyx Institute	The Calyx Institute	The Calyx Institute			
162.247.72.199	jaffer.tor-exit.calyxinstitute.org	4224	The Calyx Institute	The Calyx Institute	The Calyx Institute			
162.247.72.200	kiriakou.tor-exit.calyxinstitute.org	4224	The Calyx Institute	The Calyx Institute	The Calyx Institute			
162.247.72.201	kunstler.tor-exit.calyxinstitute.org	4224	The Calyx Institute	The Calyx Institute	The Calyx Institute			
162.247.72.202	djb.tor-exit.calyxinstitute.org	4224	The Calyx Institute	The Calyx Institute	The Calyx Institute			
162.247.72.217	perry.fellwock.tor-exit.calyxinstitute.org	4224	The Calyx Institute	The Calyx Institute	The Calyx Institute			
162.247.72.216	phoolandevi.tor-exit.calyxinstitute.org	4224	The Calyx Institute	The Calyx Institute	The Calyx Institute			
162.247.73.204	billsf.tor-exit.calyxinstitute.org	4224	The Calyx Institute	The Calyx Institute	The Calyx Institute			
